run,xign,yign,ws,wd,m1,m10,m100,lhc,lwc,firearea
10036,38.999360,-120.675309,8.8,187.9,9.0,10.0,11.0,60.0,90.0,
10037,37.443915,-121.225916,21.3,263.9,9.0,10.0,11.0,90.0,120.0,
10038,39.332873,-121.828451,28.5,91.4,3.0,4.0,5.0,30.0,60.0,
10039,39.080066,-120.659203,1.7,95.4,12.0,13.0,14.0,120.0,150.0,
10040,40.216860,-121.509294,9.9,337.8,6.0,7.0,8.0,60.0,90.0,
10041,41.554673,-120.738828,20.4,71.8,9.0,10.0,11.0,60.0,90.0,
10042,40.368492,-120.562079,21.4,49.3,12.0,13.0,14.0,120.0,150.0,
10043,39.023220,-121.619985,21.1,68.0,3.0,4.0,5.0,60.0,90.0,
10044,41.176248,-121.500922,3.3,36.0,3.0,4.0,5.0,90.0,120.0,
10045,41.656167,-120.727833,7.3,215.6,12.0,13.0,14.0,30.0,60.0,
10046,39.672654,-120.992826,4.7,262.7,3.0,4.0,5.0,120.0,150.0,
10047,40.703087,-121.721856,18.0,130.6,9.0,10.0,11.0,90.0,120.0,
10048,41.044736,-121.296852,4.5,13.8,6.0,7.0,8.0,60.0,90.0,
10049,40.233244,-120.501535,29.3,211.2,3.0,4.0,5.0,120.0,150.0,
10050,39.707450,-121.184458,11.3,3.1,12.0,13.0,14.0,30.0,60.0,
10051,40.216291,-120.760209,16.1,247.5,6.0,7.0,8.0,30.0,60.0,
10052,38.763206,-121.382424,4.0,62.7,9.0,10.0,11.0,30.0,60.0,
10053,41.429576,-121.012438,0.0,196.9,12.0,13.0,14.0,30.0,60.0,
10054,38.073953,-121.946905,9.3,108.2,9.0,10.0,11.0,30.0,60.0,
10055,38.453255,-122.028868,8.6,220.1,6.0,7.0,8.0,90.0,120.0,
10056,37.451619,-122.060077,21.3,241.5,6.0,7.0,8.0,120.0,150.0,
10057,41.031263,-122.130192,2.5,318.8,9.0,10.0,11.0,60.0,90.0,
10058,40.735383,-121.117423,22.9,120.8,9.0,10.0,11.0,90.0,120.0,
10059,39.652903,-122.249848,2.3,229.6,12.0,13.0,14.0,90.0,120.0,
10060,36.321539,-121.143630,13.0,53.1,9.0,10.0,11.0,30.0,60.0,
10061,37.850276,-121.535896,17.5,83.4,12.0,13.0,14.0,90.0,120.0,
10062,36.794029,-121.990431,27.1,340.4,12.0,13.0,14.0,120.0,150.0,
10063,41.329440,-122.093505,30.8,182.9,9.0,10.0,11.0,120.0,150.0,
10064,36.977398,-121.948400,28.6,168.4,6.0,7.0,8.0,120.0,150.0,
10065,36.791918,-122.184519,14.9,78.6,3.0,4.0,5.0,90.0,120.0,
10066,36.510894,-121.753435,18.0,229.6,12.0,13.0,14.0,30.0,60.0,
10067,36.344272,-121.179627,22.2,358.1,9.0,10.0,11.0,90.0,120.0,
10068,36.900276,-121.782169,2.6,309.5,6.0,7.0,8.0,30.0,60.0,
10069,37.242963,-121.053517,11.1,121.3,6.0,7.0,8.0,60.0,90.0,
10070,36.433969,-121.130136,23.6,349.8,9.0,10.0,11.0,90.0,120.0,
10071,40.885283,-121.310982,22.7,135.7,12.0,13.0,14.0,30.0,60.0,
10072,36.938838,-120.721903,7.9,60.5,3.0,4.0,5.0,30.0,60.0,
10073,39.500650,-121.674716,6.2,309.6,12.0,13.0,14.0,120.0,150.0,
10074,41.988457,-120.701755,5.9,138.3,9.0,10.0,11.0,90.0,120.0,
10075,36.365541,-122.252287,17.8,145.1,9.0,10.0,11.0,120.0,150.0,
10076,37.781298,-122.240376,24.9,247.9,6.0,7.0,8.0,120.0,150.0,
10077,39.639530,-121.711043,9.7,6.2,12.0,13.0,14.0,120.0,150.0,
10078,37.361734,-120.849415,14.5,222.8,12.0,13.0,14.0,30.0,60.0,
10079,36.494511,-121.552345,30.3,193.0,12.0,13.0,14.0,30.0,60.0,
10080,36.982074,-121.921636,1.2,67.3,3.0,4.0,5.0,120.0,150.0,
10081,36.560401,-120.880145,18.5,39.3,12.0,13.0,14.0,60.0,90.0,
10082,40.819270,-121.868317,26.6,287.0,9.0,10.0,11.0,90.0,120.0,
10083,38.243320,-121.400180,3.5,262.9,12.0,13.0,14.0,30.0,60.0,
10084,38.222961,-120.634057,3.8,217.8,9.0,10.0,11.0,90.0,120.0,
10085,37.742590,-121.523694,24.1,40.4,12.0,13.0,14.0,120.0,150.0,
10086,40.224630,-121.807062,8.4,325.5,3.0,4.0,5.0,60.0,90.0,
10087,41.451037,-121.359002,13.7,198.5,3.0,4.0,5.0,30.0,60.0,
10088,41.210852,-121.904215,1.5,324.4,9.0,10.0,11.0,90.0,120.0,
10089,36.644879,-120.539671,8.4,305.0,9.0,10.0,11.0,120.0,150.0,
10090,40.195498,-120.758792,10.4,157.9,6.0,7.0,8.0,60.0,90.0,
10091,39.797240,-121.168743,19.7,156.1,9.0,10.0,11.0,60.0,90.0,
10092,40.480018,-121.705268,20.0,154.8,3.0,4.0,5.0,90.0,120.0,
10093,38.976768,-121.419549,24.8,324.6,6.0,7.0,8.0,120.0,150.0,
10094,38.776768,-121.562810,24.5,236.7,12.0,13.0,14.0,30.0,60.0,
10095,38.151027,-121.120223,27.1,318.0,6.0,7.0,8.0,30.0,60.0,
10096,41.854090,-121.830995,7.9,252.1,3.0,4.0,5.0,60.0,90.0,
10097,39.266523,-121.617143,16.5,329.7,6.0,7.0,8.0,30.0,60.0,
10098,39.138790,-121.973934,5.0,169.4,6.0,7.0,8.0,120.0,150.0,
10099,41.829386,-121.180742,16.1,29.9,9.0,10.0,11.0,120.0,150.0,
